group,position,team_name,fifa_code,played,won,draw,lost,points,goals_for,goals_against,goal_difference
Group A,1,Mexico,MEX,3,3,0,0,9,6,0,6
Group A,2,South Africa,RSA,3,1,1,1,4,2,3,-1
Group A,3,South Korea,KOR,3,1,0,2,3,2,3,-1
Group A,4,Czech Republic,CZE,3,0,1,2,1,2,6,-4
Group B,1,Switzerland,SUI,3,2,1,0,7,7,3,4
Group B,2,Canada,CAN,3,1,1,1,4,8,3,5
Group B,3,Bosnia and Herzegovina,BIH,3,1,1,1,4,5,6,-1
Group B,4,Qatar,QAT,3,0,1,2,1,2,10,-8
Group C,1,Brazil,BRA,3,2,1,0,7,7,1,6
Group C,2,Morocco,MAR,3,2,1,0,7,6,3,3
Group C,3,Scotland,SCO,3,1,0,2,3,1,4,-3
Group C,4,Haiti,HAI,3,0,0,3,0,2,8,-6
Group D,1,USA,USA,3,2,0,1,6,8,4,4
Group D,2,Australia,AUS,3,1,1,1,4,2,2,0
Group D,3,Paraguay,PAR,3,1,1,1,4,2,4,-2
Group D,4,Turkey,TUR,3,1,0,2,3,3,5,-2
Group E,1,Germany,GER,3,2,0,1,6,10,4,6
Group E,2,Côte d'Ivoire,CIV,3,2,0,1,6,4,2,2
Group E,3,Ecuador,ECU,3,1,1,1,4,2,2,0
Group E,4,Curaçao,CUR,3,0,1,2,1,1,9,-8
Group F,1,Netherlands,NED,3,2,1,0,7,10,4,6
Group F,2,Japan,JPN,3,1,2,0,5,7,3,4
Group F,3,Sweden,SWE,3,1,1,1,4,7,7,0
Group F,4,Tunisia,TUN,3,0,0,3,0,2,12,-10
Group G,1,Egypt,EGY,3,2,1,0,7,5,2,3
Group G,2,Belgium,BEL,3,0,3,0,3,1,1,0
Group G,3,IR Iran,IRN,3,0,2,1,2,2,3,-1
Group G,4,New Zealand,NZL,3,0,2,1,2,3,5,-2
Group H,1,Spain,ESP,3,2,1,0,7,5,0,5
Group H,2,Cabo Verde,CPV,3,0,3,0,3,2,2,0
Group H,3,Uruguay,URU,3,0,2,1,2,3,4,-1
Group H,4,Saudi Arabia,KSA,3,0,2,1,2,1,5,-4
Group I,1,France,FRA,3,3,0,0,9,10,2,8
Group I,2,Norway,NOR,3,2,0,1,6,8,7,1
Group I,3,Senegal,SEN,3,1,0,2,3,8,6,2
Group I,4,Iraq,IRQ,3,0,0,3,0,1,12,-11
Group J,1,Argentina,ARG,2,2,0,0,6,5,0,5
Group J,2,Austria,AUT,2,1,0,1,3,3,3,0
Group J,3,Algeria,ALG,2,1,0,1,3,2,4,-2
Group J,4,Jordan,JOR,2,0,0,2,0,2,5,-3
Group K,1,Colombia,COL,2,2,0,0,6,4,1,3
Group K,2,Portugal,POR,2,1,1,0,4,6,1,5
Group K,3,DR Congo,COD,2,0,1,1,1,1,2,-1
Group K,4,Uzbekistan,UZB,2,0,0,2,0,1,8,-7
Group L,1,England,ENG,2,1,1,0,4,4,2,2
Group L,2,Ghana,GHA,2,1,1,0,4,1,0,1
Group L,3,Croatia,CRO,2,1,0,1,3,3,4,-1
Group L,4,Panama,PAN,2,0,0,2,0,0,2,-2
